Exp Date,location,Type,Temp,pH,Month,Free_Cl,Cl_Class,ATP,CFU,HPC_fail,Criteria,Culturability,LNA,HNA,ratio,ICC
2022. 5.13,E,Flushed,,,5,0.29,0.3,22.1,0,0,Pass,0.00%,1072,24,0.022,1096
2022. 5.13,G,Stagnant,,,5,0.2,0.2,30.5,14,0,Pass,0.71%,1822,148,0.081,1970
2022. 5.13,G,Flushed,,,5,0.22,0.2,27.2,0,0,Pass,0.00%,884,18,0.02,902
2022. 5.13,F,Stagnant,,,5,0,0,22.3,0,0,Pass,0.00%,1122,120,0.107,1242
2022. 5.13,F,Flushed,,,5,0.15,0.2,44.2,0,0,Pass,0.00%,1726,80,0.046,1806
2022. 5.13,D,Stagnant,,,5,0,0,36.7,8,0,Pass,0.16%,3878,1082,0.279,4960
2022. 5.13,D,Flushed,,,5,0.3,0.3,20.2,0,0,Pass,0.00%,1062,46,0.043,1108
2022. 5.20,B,Stagnant,22.3,,5,0,0,56.2,25,0,Pass,0.04%,55118,4872,0.088,59990
2022. 5.20,B,Flushed,21.7,,5,0.15,0.2,12,0,0,Pass,0.00%,2558,794,0.31,3352
2022. 5.20,C,Stagnant,24.4,,5,0,0,45.3,445,1,Fail,1.49%,13824,16138,1.167,29962
2022. 5.20,C,Flushed,24,,5,0.25,0.3,24,0,0,Pass,0.00%,2048,290,0.142,2338
2022. 5.20,D,Stagnant,26,,5,0,0,17.5,15,0,Pass,0.46%,2862,402,0.14,3264
2022. 5.20,D,Flushed,25,,5,0.31,0.3,12.6,0,0,Pass,0.00%,720,24,0.033,744
2022. 5.20,F,Stagnant,23.8,,5,0,0,8,2,0,Pass,0.21%,894,54,0.06,948
2022. 5.20,F,Flushed,23.7,,5,0.13,0.1,9.1,0,0,Pass,0.00%,550,28,0.051,578
2022. 5.20,H,Stagnant,24.6,,5,0,0,57.2,0,0,Pass,0.00%,1904,306,0.161,2210
2022. 5.20,H,Flushed,24.4,,5,0.29,0.3,11.4,0,0,Pass,0.00%,1268,174,0.137,1442
2022. 6.03,B,Stagnant,24.4,,6,0.01,0,52.7,125,1,Fail,0.25%,14252,36372,2.552,50624
2022. 6.03,B,Flushed,22.4,,6,0.15,0.2,16.3,0,0,Pass,0.00%,2038,610,0.299,2648
2022. 6.03,C,Stagnant,27.3,,6,0.02,0,175.4,2218,1,Fail,4.25%,27190,25036,0.921,52226
2022. 6.03,C,Flushed,23.2,,6,0.22,0.2,20.5,0,0,Pass,0.00%,612,26,0.042,638
2022. 6.03,E,Stagnant,26.7,,6,0,0,48.7,0,0,Pass,0.00%,17742,494,0.028,18236
2022. 6.03,E,Flushed,26.1,,6,0.22,0.2,12.3,0,0,Pass,0.00%,640,22,0.034,662
2022. 6.03,A,Stagnant,23.5,,6,0.01,0,13.1,0,0,Pass,0.00%,2608,464,0.178,3072
2022. 6.03,A,Flushed,23,,6,0.06,0.1,9.4,0,0,Pass,0.00%,790,22,0.028,812
2022. 6.03,G,Stagnant,25.1,,6,0.01,0,16.6,0,0,Pass,0.00%,2622,210,0.08,2832
2022. 6.03,G,Flushed,24.9,,6,0.2,0.2,11.3,0,0,Pass,0.00%,808,12,0.015,820
